0,Stream_1,ats,ES_1,ES_318,549,500,11622
4,Stream_2,ats,ES_1,ES_336,565,500,5400
1,Stream_3,ats,ES_2,ES_306,696,2000,14786
2,Stream_4,ats,ES_2,ES_883,501,1000,3433
7,Stream_5,ats,ES_3,ES_277,880,500,18308
6,Stream_6,ats,ES_3,ES_870,701,500,1176
3,Stream_7,ats,ES_4,ES_683,543,1000,6816
1,Stream_8,ats,ES_4,ES_1019,954,1000,17296
2,Stream_9,ats,ES_5,ES_734,556,2000,12449
7,Stream_10,ats,ES_5,ES_388,557,500,11389
3,Stream_11,ats,ES_6,ES_224,802,1000,18617
3,Stream_12,ats,ES_6,ES_335,906,500,6300
4,Stream_13,ats,ES_7,ES_734,574,2000,10582
2,Stream_14,ats,ES_7,ES_392,867,500,7160
5,Stream_15,ats,ES_8,ES_778,972,2000,3926
5,Stream_16,ats,ES_8,ES_403,568,1000,3941
1,Stream_17,ats,ES_9,ES_656,512,2000,6770
6,Stream_18,ats,ES_9,ES_666,801,1000,12755
3,Stream_19,ats,ES_10,ES_683,931,2000,12692
4,Stream_20,ats,ES_10,ES_781,810,2000,5826
6,Stream_21,ats,ES_11,ES_866,771,1000,6190
0,Stream_22,ats,ES_11,ES_699,891,2000,8328
0,Stream_23,ats,ES_12,ES_828,754,1000,15757
5,Stream_24,ats,ES_12,ES_28,768,1000,8303
2,Stream_25,ats,ES_13,ES_176,713,500,5730
6,Stream_26,ats,ES_13,ES_258,937,1000,4808
7,Stream_27,ats,ES_14,ES_537,583,2000,10110
1,Stream_28,ats,ES_14,ES_66,986,500,7578
2,Stream_29,ats,ES_15,ES_209,903,500,3498
4,Stream_30,ats,ES_15,ES_963,593,2000,14545
6,Stream_31,ats,ES_16,ES_113,505,2000,9199
5,Stream_32,ats,ES_16,ES_57,652,2000,18184
5,Stream_33,ats,ES_17,ES_814,593,500,19005
2,Stream_34,ats,ES_17,ES_994,775,2000,6742
3,Stream_35,ats,ES_18,ES_198,630,2000,14127
4,Stream_36,ats,ES_18,ES_585,931,2000,15802
3,Stream_37,ats,ES_19,ES_861,766,2000,6072
1,Stream_38,ats,ES_19,ES_622,905,500,18943
4,Stream_39,ats,ES_20,ES_6,989,1000,14003
2,Stream_40,ats,ES_20,ES_260,856,1000,3925
3,Stream_41,ats,ES_21,ES_816,914,1000,18893
2,Stream_42,ats,ES_21,ES_838,723,1000,15441
7,Stream_43,ats,ES_22,ES_644,650,500,6178
4,Stream_44,ats,ES_22,ES_113,646,2000,15967
4,Stream_45,ats,ES_23,ES_165,900,2000,4164
6,Stream_46,ats,ES_23,ES_502,598,500,4755
7,Stream_47,ats,ES_24,ES_83,975,1000,19134
1,Stream_48,ats,ES_24,ES_262,515,2000,13697
4,Stream_49,ats,ES_25,ES_258,657,1000,8905
3,Stream_50,ats,ES_25,ES_503,770,2000,11415
5,Stream_51,ats,ES_26,ES_45,962,1000,8919
5,Stream_52,ats,ES_26,ES_89,936,2000,11513
4,Stream_53,ats,ES_27,ES_748,642,2000,6521
3,Stream_54,ats,ES_27,ES_955,546,2000,16348
3,Stream_55,ats,ES_28,ES_660,888,2000,9852
4,Stream_56,ats,ES_28,ES_940,701,2000,9505
7,Stream_57,ats,ES_29,ES_374,909,500,2202
6,Stream_58,ats,ES_29,ES_592,502,2000,18016
3,Stream_59,ats,ES_30,ES_900,626,2000,5884
5,Stream_60,ats,ES_30,ES_268,724,500,13658
5,Stream_61,ats,ES_31,ES_316,730,1000,9885
0,Stream_62,ats,ES_31,ES_2,981,2000,8263
1,Stream_63,ats,ES_32,ES_799,575,500,7696
6,Stream_64,ats,ES_32,ES_462,720,500,19399
1,Stream_65,ats,ES_33,ES_1018,926,500,10746
1,Stream_66,ats,ES_33,ES_125,763,500,18764
7,Stream_67,ats,ES_34,ES_971,988,1000,1323
2,Stream_68,ats,ES_34,ES_433,508,2000,17416
4,Stream_69,ats,ES_35,ES_330,644,2000,19839
4,Stream_70,ats,ES_35,ES_699,600,2000,13910
2,Stream_71,ats,ES_36,ES_575,886,500,5201
6,Stream_72,ats,ES_36,ES_591,569,2000,2278
0,Stream_73,ats,ES_37,ES_867,779,1000,16123
7,Stream_74,ats,ES_37,ES_640,819,500,14819
6,Stream_75,ats,ES_38,ES_941,745,2000,4341
7,Stream_76,ats,ES_38,ES_858,767,500,11213
3,Stream_77,ats,ES_39,ES_72,611,2000,17187
6,Stream_78,ats,ES_39,ES_118,500,1000,7651
0,Stream_79,ats,ES_40,ES_478,640,1000,3728
7,Stream_80,ats,ES_40,ES_633,719,500,4837
6,Stream_81,ats,ES_41,ES_792,907,2000,17235
5,Stream_82,ats,ES_41,ES_405,635,500,12897
2,Stream_83,ats,ES_42,ES_444,733,1000,2313
3,Stream_84,ats,ES_42,ES_380,736,500,18089
1,Stream_85,ats,ES_43,ES_833,1000,1000,17934
5,Stream_86,ats,ES_43,ES_941,927,2000,10400
2,Stream_87,ats,ES_44,ES_165,555,1000,1652
0,Stream_88,ats,ES_44,ES_690,814,2000,16075
2,Stream_89,ats,ES_45,ES_663,671,2000,2446
2,Stream_90,ats,ES_45,ES_389,533,2000,18550
7,Stream_91,ats,ES_46,ES_69,843,500,6146
0,Stream_92,ats,ES_46,ES_665,508,500,4964
1,Stream_93,ats,ES_47,ES_672,963,500,5023
4,Stream_94,ats,ES_47,ES_457,633,2000,10284
1,Stream_95,ats,ES_48,ES_181,735,1000,14119
3,Stream_96,ats,ES_48,ES_413,941,2000,17359
3,Stream_97,ats,ES_49,ES_174,967,1000,12106
1,Stream_98,ats,ES_49,ES_562,815,1000,11975
7,Stream_99,ats,ES_50,ES_690,737,500,10385
7,Stream_100,ats,ES_50,ES_42,613,1000,2190
5,Stream_101,ats,ES_51,ES_65,989,1000,5325
2,Stream_102,ats,ES_51,ES_531,666,1000,13855
1,Stream_103,ats,ES_52,ES_845,761,500,2904
5,Stream_104,ats,ES_52,ES_257,836,2000,5525
5,Stream_105,ats,ES_53,ES_91,787,2000,6562
2,Stream_106,ats,ES_53,ES_643,912,1000,14501
1,Stream_107,ats,ES_54,ES_406,989,500,11031
5,Stream_108,ats,ES_54,ES_323,781,1000,11846
5,Stream_109,ats,ES_55,ES_817,652,500,18655
1,Stream_110,ats,ES_55,ES_323,888,1000,15284
7,Stream_111,ats,ES_56,ES_228,796,2000,15552
7,Stream_112,ats,ES_56,ES_572,538,2000,14350
3,Stream_113,ats,ES_57,ES_433,714,1000,9233
2,Stream_114,ats,ES_57,ES_687,979,2000,6294
3,Stream_115,ats,ES_58,ES_520,617,500,3717
1,Stream_116,ats,ES_58,ES_540,617,2000,2714
3,Stream_117,ats,ES_59,ES_29,986,500,12343
0,Stream_118,ats,ES_59,ES_415,947,1000,5633
1,Stream_119,ats,ES_60,ES_820,857,1000,14049
5,Stream_120,ats,ES_60,ES_410,887,1000,12859
0,Stream_121,ats,ES_61,ES_761,783,500,8179
0,Stream_122,ats,ES_61,ES_521,598,1000,19356
0,Stream_123,ats,ES_62,ES_307,789,500,18351
6,Stream_124,ats,ES_62,ES_124,834,1000,4276
2,Stream_125,ats,ES_63,ES_141,823,2000,3296
2,Stream_126,ats,ES_63,ES_651,937,2000,7051
7,Stream_127,ats,ES_64,ES_132,764,1000,3181
7,Stream_128,ats,ES_64,ES_417,1000,1000,12743
3,Stream_129,ats,ES_65,ES_613,939,500,16074
7,Stream_130,ats,ES_65,ES_91,955,1000,3261
4,Stream_131,ats,ES_66,ES_48,591,500,11635
5,Stream_132,ats,ES_66,ES_611,557,2000,8274
1,Stream_133,ats,ES_67,ES_767,944,1000,19144
1,Stream_134,ats,ES_67,ES_374,658,2000,16047
7,Stream_135,ats,ES_68,ES_471,774,500,5583
2,Stream_136,ats,ES_68,ES_904,942,1000,13894
1,Stream_137,ats,ES_69,ES_481,977,500,3548
1,Stream_138,ats,ES_69,ES_165,738,1000,12620
0,Stream_139,ats,ES_70,ES_975,817,500,18619
5,Stream_140,ats,ES_70,ES_848,901,2000,2439
2,Stream_141,ats,ES_71,ES_185,846,1000,3513
0,Stream_142,ats,ES_71,ES_900,550,1000,11570
6,Stream_143,ats,ES_72,ES_423,589,500,1102
6,Stream_144,ats,ES_72,ES_946,866,2000,12059
6,Stream_145,ats,ES_73,ES_515,888,2000,3153
3,Stream_146,ats,ES_73,ES_906,805,2000,4397
6,Stream_147,ats,ES_74,ES_517,705,500,19678
0,Stream_148,ats,ES_74,ES_39,818,1000,16950
0,Stream_149,ats,ES_75,ES_175,617,500,8018
0,Stream_150,ats,ES_75,ES_995,983,2000,15778
3,Stream_151,ats,ES_76,ES_789,812,1000,17847
2,Stream_152,ats,ES_76,ES_489,938,500,13346
3,Stream_153,ats,ES_77,ES_337,732,2000,1425
0,Stream_154,ats,ES_77,ES_296,877,1000,1192
0,Stream_155,ats,ES_78,ES_871,666,1000,8339
1,Stream_156,ats,ES_78,ES_474,926,1000,16031
2,Stream_157,ats,ES_79,ES_102,764,1000,4927
1,Stream_158,ats,ES_79,ES_693,566,500,14367
4,Stream_159,ats,ES_80,ES_31,615,500,6853
3,Stream_160,ats,ES_80,ES_998,581,2000,17965
6,Stream_161,ats,ES_81,ES_75,552,2000,9093
7,Stream_162,ats,ES_81,ES_768,846,2000,14746
5,Stream_163,ats,ES_82,ES_365,569,2000,7956
7,Stream_164,ats,ES_82,ES_736,718,1000,3270
4,Stream_165,ats,ES_83,ES_399,732,2000,6884
2,Stream_166,ats,ES_83,ES_551,711,2000,14950
7,Stream_167,ats,ES_84,ES_1020,967,1000,11799
4,Stream_168,ats,ES_84,ES_982,665,2000,5599
5,Stream_169,ats,ES_85,ES_476,612,1000,6938
7,Stream_170,ats,ES_85,ES_748,748,2000,19788
5,Stream_171,ats,ES_86,ES_865,704,2000,5878
5,Stream_172,ats,ES_86,ES_797,762,2000,9010
3,Stream_173,ats,ES_87,ES_734,746,500,2206
4,Stream_174,ats,ES_87,ES_216,833,2000,11705
0,Stream_175,ats,ES_88,ES_574,586,1000,13893
1,Stream_176,ats,ES_88,ES_388,723,500,14095
1,Stream_177,ats,ES_89,ES_948,940,1000,4471
6,Stream_178,ats,ES_89,ES_847,906,1000,2164
7,Stream_179,ats,ES_90,ES_806,562,1000,1926
6,Stream_180,ats,ES_90,ES_577,967,500,13091
0,Stream_181,ats,ES_91,ES_596,649,1000,2782
1,Stream_182,ats,ES_91,ES_832,662,500,9182
7,Stream_183,ats,ES_92,ES_316,616,1000,19478
5,Stream_184,ats,ES_92,ES_485,838,2000,11272
2,Stream_185,ats,ES_93,ES_702,628,2000,7638
3,Stream_186,ats,ES_93,ES_334,886,1000,3410
4,Stream_187,ats,ES_94,ES_815,892,1000,16694
3,Stream_188,ats,ES_94,ES_587,687,500,14835
4,Stream_189,ats,ES_95,ES_246,851,500,14072
0,Stream_190,ats,ES_95,ES_502,829,500,6464
2,Stream_191,ats,ES_96,ES_351,944,1000,6185
7,Stream_192,ats,ES_96,ES_494,636,2000,5887
0,Stream_193,ats,ES_97,ES_975,866,500,4541
5,Stream_194,ats,ES_97,ES_219,606,500,8275
1,Stream_195,ats,ES_98,ES_410,732,2000,12145
1,Stream_196,ats,ES_98,ES_88,731,2000,6659
5,Stream_197,ats,ES_99,ES_523,706,1000,4400
