Stream ID,MaxE2EDelay,Path,Deadline
Stream_1,107.69650824418943,ES_1 -> Switch_1 -> Switch_200 -> Switch_151 -> Switch_883 -> ES_1766,19196.0
Stream_2,578.7461168975016,ES_1 -> Switch_1 -> Switch_138 -> Switch_740 -> Switch_424 -> Switch_535 -> Switch_30 -> Switch_56 -> Switch_104 -> Switch_366 -> ES_732,7327.0
Stream_3,974.5193237998551,ES_1 -> Switch_1 -> Switch_138 -> Switch_449 -> Switch_1003 -> Switch_815 -> Switch_180 -> Switch_172 -> Switch_118 -> Switch_687 -> ES_1373,1787.0
Stream_4,292.32,ES_1 -> Switch_1 -> Switch_445 -> Switch_795 -> Switch_18 -> Switch_24 -> Switch_601 -> Switch_328 -> Switch_15 -> Switch_539 -> ES_1078,2866.0
Stream_5,752.5318019937296,ES_2 -> Switch_1 -> Switch_138 -> Switch_740 -> Switch_424 -> Switch_535 -> Switch_30 -> Switch_56 -> Switch_338 -> ES_675,1924.0
Stream_6,399.53589461788374,ES_2 -> Switch_1 -> Switch_138 -> Switch_449 -> Switch_1003 -> Switch_815 -> Switch_458 -> ES_915,2274.0
Stream_7,122.3146019438134,ES_2 -> Switch_1 -> Switch_126 -> ES_251,15686.0
Stream_8,213.63182824042073,ES_2 -> Switch_1 -> Switch_183 -> Switch_106 -> Switch_671 -> Switch_377 -> Switch_191 -> Switch_858 -> ES_1716,1687.0
Stream_9,516.0440705247289,ES_3 -> Switch_2 -> Switch_387 -> Switch_39 -> Switch_30 -> Switch_260 -> Switch_409 -> ES_818,19074.0
Stream_10,485.15944837490974,ES_3 -> Switch_2 -> Switch_387 -> Switch_39 -> Switch_1013 -> Switch_507 -> ES_1014,1652.0
Stream_11,574.0678040853381,ES_3 -> Switch_2 -> Switch_568 -> Switch_100 -> Switch_772 -> Switch_961 -> Switch_407 -> Switch_21 -> Switch_777 -> ES_1554,8519.0
Stream_12,141.18785629204655,ES_3 -> Switch_2 -> Switch_35 -> Switch_958 -> Switch_211 -> Switch_728 -> Switch_9 -> ES_17,14262.0
Stream_13,256.9188269656196,ES_4 -> Switch_2 -> Switch_359 -> Switch_217 -> Switch_66 -> Switch_91 -> Switch_53 -> ES_106,7438.0
Stream_14,183.6,ES_4 -> Switch_2 -> Switch_106 -> Switch_502 -> Switch_14 -> Switch_46 -> Switch_564 -> ES_1127,13111.0
Stream_15,176.45813833019992,ES_4 -> Switch_2 -> Switch_449 -> Switch_305 -> Switch_426 -> ES_852,2136.0
Stream_16,340.31036301127233,ES_4 -> Switch_2 -> Switch_568 -> Switch_100 -> Switch_201 -> Switch_742 -> Switch_873 -> ES_1745,12650.0
