Stream ID,MaxE2EDelay,Path,Deadline
Stream_1,139.46076920331672,ES_1 -> Switch_1 -> Switch_249 -> Switch_18 -> Switch_116 -> ES_232,12055.0
Stream_2,117.10958851792022,ES_1 -> Switch_1 -> Switch_354 -> Switch_727 -> Switch_587 -> ES_1173,6100.0
Stream_3,172.34293723582104,ES_1 -> Switch_1 -> Switch_11 -> Switch_31 -> Switch_869 -> ES_1737,16542.0
Stream_4,78.46733932269893,ES_1 -> Switch_1 -> Switch_27 -> Switch_581 -> Switch_613 -> ES_1226,2909.0
Stream_5,116.58505414886378,ES_2 -> Switch_1 -> Switch_827 -> Switch_97 -> Switch_160 -> ES_320,3176.0
Stream_6,89.32666634281583,ES_2 -> Switch_1 -> Switch_27 -> Switch_394 -> Switch_462 -> ES_923,2500.0
Stream_7,92.6024429288862,ES_2 -> Switch_1 -> Switch_739 -> Switch_169 -> Switch_686 -> ES_1372,15719.0
Stream_8,67.12800000000001,ES_2 -> Switch_1 -> Switch_614 -> Switch_448 -> Switch_856 -> ES_1712,7239.0
Stream_9,74.66344986117389,ES_3 -> Switch_2 -> Switch_902 -> Switch_295 -> Switch_328 -> ES_656,2710.0
Stream_10,84.74672119561136,ES_3 -> Switch_2 -> Switch_902 -> Switch_760 -> Switch_901 -> ES_1801,5975.0
Stream_11,109.48887101879284,ES_3 -> Switch_2 -> Switch_133 -> Switch_564 -> Switch_391 -> Switch_558 -> ES_1116,3280.0
Stream_12,132.32976942364175,ES_3 -> Switch_2 -> Switch_414 -> Switch_107 -> Switch_479 -> ES_958,5395.0
Stream_13,77.71292281722549,ES_4 -> Switch_2 -> Switch_838 -> Switch_352 -> Switch_463 -> ES_926,11884.0
Stream_14,81.32012381553184,ES_4 -> Switch_2 -> Switch_976 -> Switch_235 -> ES_469,12390.0
Stream_15,47.048,ES_4 -> Switch_2 -> Switch_262 -> Switch_1003 -> Switch_343 -> ES_686,4327.0
Stream_16,146.87220912834272,ES_4 -> Switch_2 -> Switch_133 -> Switch_368 -> Switch_737 -> ES_1473,18905.0
Stream_17,121.8550392437005,ES_5 -> Switch_3 -> Switch_176 -> Switch_787 -> Switch_667 -> Switch_948 -> ES_1895,6863.0
Stream_18,92.4866478484766,ES_5 -> Switch_3 -> Switch_176 -> Switch_342 -> Switch_12 -> ES_23,13414.0
Stream_19,75.14214713224733,ES_5 -> Switch_3 -> Switch_705 -> Switch_536 -> Switch_203 -> ES_405,14976.0
Stream_20,65.21600000000001,ES_5 -> Switch_3 -> Switch_802 -> Switch_437 -> Switch_343 -> ES_685,14035.0
Stream_21,129.72437256496664,ES_6 -> Switch_3 -> Switch_96 -> Switch_678 -> Switch_956 -> Switch_682 -> ES_1364,2311.0
Stream_22,75.99575308708722,ES_6 -> Switch_3 -> Switch_484 -> Switch_591 -> Switch_379 -> ES_758,15435.0
Stream_23,70.03301556228456,ES_6 -> Switch_3 -> Switch_196 -> Switch_986 -> Switch_585 -> ES_1170,5724.0
Stream_24,66.77406087638606,ES_6 -> Switch_3 -> Switch_802 -> ES_1604,8753.0
Stream_25,124.61829328375688,ES_7 -> Switch_4 -> Switch_23 -> Switch_46 -> Switch_185 -> ES_369,12725.0
Stream_26,97.13570332183912,ES_7 -> Switch_4 -> Switch_661 -> Switch_307 -> Switch_170 -> ES_339,14680.0
